platform_id,comparability,workload,model,mode,precision,throughput_unit,experiments,avg_runtime_seconds,avg_throughput_tokens_sec,avg_throughput_samples_sec,avg_memory_used_gb,avg_latency_p50_ms,avg_latency_p95_ms,avg_quality_loss,avg_quality_perplexity,avg_quality_accuracy
h100,exact,distilbert,distilbert-base-uncased,inference,bf16,input_tokens_per_second,12,9.262696798609491,81052.08011967863,633.2193759349893,0.8505859375,1.559903195205455,1.606492973708858,,,0.4921875
h100,exact,distilbert,distilbert-base-uncased,training,bf16,training_tokens_per_second,60,14.596887404492978,1276749.5875103767,2493.6515381062045,6.40546875,,,2.2796491185824075,,
h100,exact,gpt2_small,gpt2,inference,bf16,generated_tokens_per_second,63,64.03267882408996,1541.23086911549,,58.83062065972222,398.4410964028304,400.86020080729327,12.862013339996338,385677.63580661314,
h100,exact,gpt2_small,gpt2,training,bf16,training_tokens_per_second,57,26.919673189823108,259836.70583462354,253.74678304162455,29.72435238486842,,,14.029590129852295,1250807.9459506914,
h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,inference,bf16,generated_tokens_per_second,60,98.1628048736505,933.0785308364425,,62.048763020833334,725.8685980021255,729.0177042451493,12.68524694442749,323322.0088032365,
h100,exact,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,training,bf16,training_tokens_per_second,9,57.937728056244346,29436.859425236355,28.746933032457378,26.786783854166668,,,,,
h100,platform_specific,environment_validation,all,inference,bf16,generated_tokens_per_second,1,21.432914161821827,245.24840703665578,,71.9375,8.15499690361321,8.15499690361321,,,
h100,platform_specific,environment_validation,all,training,bf16,,5,10.521776331821457,,,1.2314453125,,,,,
h100,platform_specific,gpt2_small,gpt2,inference,bf16,generated_tokens_per_second,3,53.69346249794277,290.49930580790755,,0.9775390625,440.7055984484032,442.6162609946914,,,
h100,platform_specific,gpt2_small,gpt2,training,bf16,training_tokens_per_second,9,59.14568234879213,203281.4975912884,198.5170874914926,28.944986979166668,,,13.850586573282877,1036402.3981938626,
l40s,capacity_adjusted,gpt2_small,gpt2,training,bf16,training_tokens_per_second,9,66.75440930342302,45181.036150260996,44.122105615489254,39.746744791666664,,,,,
l40s,capacity_adjusted,tinyllama,TinyLlama/TinyLlama-1.1B-Chat-v1.0,training,bf16,training_tokens_per_second,6,167.06471705273725,12230.747739330918,11.94408958919035,28.642903645833332,,,,,
l40s,exact,distilbert,distilbert-base-uncased,inference,bf16,input_tokens_per_second,15,10.993475170619785,92320.38616987554,721.2530169521526,0.6541666666666667,1.3759182766079903,1.4019099979971845,,,0.484375
l40s,exact,distilbert,distilbert-base-uncased,inference,fp16,input_tokens_per_second,3,15.29633016899849,91371.8375971422,713.8424812276735,0.6822916666666666,1.391887276743849,1.423604724307855,,,0.515625
l40s,exact,distilbert,distilbert-base-uncased,training,bf16,training_tokens_per_second,123,21.154620729102867,471320.86012290925,920.5485549275571,5.1177273882113825,,,2.8613869349161782,,
l40s,exact,distilbert,distilbert-base-uncased,training,fp16,training_tokens_per_second,3,17.39851899476101,278571.8548117872,544.0856539292719,4.935546875,,,2.7095799446105957,,
l40s,exact,distilbert,distilbert-base-uncased,training,fp32,training_tokens_per_second,3,27.061257709904265,94507.95416718967,184.58584798279233,6.41015625,,,3.1645281314849854,,
l40s,exact,distilbert,distilbert-base-uncased-finetuned-sst-2-english,inference,bf16,input_tokens_per_second,57,10.885599408045476,296484.5373537162,2190.724057703846,0.8629728618421053,3.608507345218146,3.795477673166284,,,0.984375
l40s,exact,distilbert,distilbert-base-uncased-finetuned-sst-2-english,inference,fp16,input_tokens_per_second,3,14.1135741014344,91422.25373669424,714.2363573179238,0.6751302083333334,1.3940664939582348,1.4282008400186896,,,0.984375
l40s,exact,gpt2_small,gpt2,inference,bf16,generated_tokens_per_second,72,64.42961095504386,1489.5600906374957,,29.292805989583332,387.31325424224553,389.67802270587225,12.842402458190918,378232.1404561023,
l40s,exact,gpt2_small,gpt2,inference,fp16,generated_tokens_per_second,6,58.236396480506905,288.5302173037511,,0.83984375,441.72643377290416,443.8076333880114,12.824036598205566,371029.4053698035,
l40s,exact,gpt2_small,gpt2,inference,fp8,generated_tokens_per_second,3,85.39383132336661,298.3403490245135,,41.099609375,428.76844977339107,431.3468884443864,,,
